inchikey,smiles,value,tier,scaffold
NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,1.389,tier1+confirmed,EMPTY_SCAFFOLD
OKVWYBALHQFVFP-UHFFFAOYSA-N,CCC(C)(C)C(C)C,1.4052,tier1+confirmed,EMPTY_SCAFFOLD
RLPGDEORIPLBNF-UHFFFAOYSA-N,CC(C)C(C)C(C)C,1.402,tier1+confirmed,EMPTY_SCAFFOLD
XTDQDBVBDLYELW-UHFFFAOYSA-N,CCC(C)C(C)(C)C,1.4007,tier1+confirmed,EMPTY_SCAFFOLD
GWHJZXXIDMPWGX-UHFFFAOYSA-N,Cc1ccc(C)c(C)c1,1.5024,tier1+confirmed,c1ccccc1
JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],1.3996,tier1+confirmed,EMPTY_SCAFFOLD
YTZKOQUCBOVLHL-UHFFFAOYSA-N,CC(C)(C)c1ccccc1,1.4902,tier1+confirmed,c1ccccc1
PBKONEOXTCPAFI-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1,1.5693,tier1+confirmed,c1ccccc1
LQNUZADURLCDLV-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1,1.5499,tier1+confirmed,c1ccccc1
INQOMBQAUSQDDS-UHFFFAOYSA-N,CI,1.527,tier1+confirmed,EMPTY_SCAFFOLD
DNJIEGIFACGWOD-UHFFFAOYSA-N,CCS,1.4278,tier1+confirmed,EMPTY_SCAFFOLD
LELOWRISYMNNSU-UHFFFAOYSA-N,C#N,1.2594,tier1+confirmed,EMPTY_SCAFFOLD
QUSNBJAOOMFDIB-UHFFFAOYSA-N,CCN,1.3627,tier1,EMPTY_SCAFFOLD
BDAGIHXWWSANSR-UHFFFAOYSA-N,O=CO,1.3693,tier1+confirmed,EMPTY_SCAFFOLD
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,CCCBr,1.4317,tier1+confirmed,EMPTY_SCAFFOLD
NOWKCMXCCJGMRR-UHFFFAOYSA-N,C1CN1,1.4123,tier1,C1CN1
XNWFRZJHXBZDAG-UHFFFAOYSA-N,COCCO,1.4002,tier1+confirmed,EMPTY_SCAFFOLD
XXROGKLTLUQVRX-UHFFFAOYSA-N,C=CCO,1.41345,secondary_tight,EMPTY_SCAFFOLD
GOOHAUXETOMSMM-UHFFFAOYSA-N,CC1CO1,1.3632,tier1,C1CO1
MPPPKRYCTPRNTB-UHFFFAOYSA-N,CCCCBr,1.4378,tier1+confirmed,EMPTY_SCAFFOLD
NVJUHMXYKCUMQA-UHFFFAOYSA-N,CCCOCC,1.366,tier1+confirmed,EMPTY_SCAFFOLD
BHRZNVHARXXAHW-UHFFFAOYSA-N,CCC(C)N,1.3907,tier1,EMPTY_SCAFFOLD
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,CCCCC=O,1.3917,tier1+confirmed,EMPTY_SCAFFOLD
RWRDLPDLKQPQOW-UHFFFAOYSA-N,C1CCNC1,1.4402,tier1+confirmed,C1CCNC1
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,CCCNCCC,1.4018,tier1+confirmed,EMPTY_SCAFFOLD
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,1.405,tier1+confirmed,C1CCOC1
YHRUOJUYPBUZOS-UHFFFAOYSA-N,ClCCCCl,1.446,tier1+confirmed,EMPTY_SCAFFOLD
BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,1.4223,tier1+confirmed,EMPTY_SCAFFOLD
BSPCSKHALVHRSR-UHFFFAOYSA-N,CCC(C)Cl,1.3941,tier1+confirmed,EMPTY_SCAFFOLD
GDOPTJXRTPNYNR-UHFFFAOYSA-N,CC1CCCC1,1.407,tier1+confirmed,C1CCCC1
JYVLIDXNZAXMDK-UHFFFAOYSA-N,CCCC(C)O,1.4044,tier1,EMPTY_SCAFFOLD
LPIQUOYDBNQMRZ-UHFFFAOYSA-N,C1=CCCC1,1.4194,tier1+confirmed,C1=CCCC1
POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,1.4177,tier1+confirmed,EMPTY_SCAFFOLD
FXHGMKSSBGDXIY-UHFFFAOYSA-N,CCCCCCC=O,1.4094,tier1+confirmed,EMPTY_SCAFFOLD
IOQPZZOEVPZRBK-UHFFFAOYSA-N,CCCCCCCCN,1.4277,tier1+confirmed,EMPTY_SCAFFOLD
JQVDAXLFBXTEQA-UHFFFAOYSA-N,CCCCNCCCC,1.4152,tier1+confirmed,EMPTY_SCAFFOLD
KWKAKUADMBZCLK-UHFFFAOYSA-N,C=CCCCCCC,1.4062,tier1+confirmed,EMPTY_SCAFFOLD
LSXKDWGTSHCFPP-UHFFFAOYSA-N,CCCCCCCBr,1.4481,tier1+confirmed,EMPTY_SCAFFOLD
PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fc1ccccc1,1.4629,tier1+confirmed,c1ccccc1
RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,1.3742,tier1+confirmed,EMPTY_SCAFFOLD
VLJXXKKOSFGPHI-UHFFFAOYSA-N,CCCC(C)CC,1.3661,tier1,EMPTY_SCAFFOLD
DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,1.4097,tier1+confirmed,EMPTY_SCAFFOLD
HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=Cc1ccco1,1.5234,tier1+confirmed,c1ccoc1
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,1.4507,tier1+confirmed,O=C1CCCCC1
