smiles,mean,std,n
C1CCCCCCC1,-126.1,0.0,1
C1CCCCCCCCCCCCC1,-239.2,0.0,1
C1CCCCc2ccc(Cc3ccc(CCC1)cc3)cc2,29.0,0.0,1
C1CCCNCC1,-45.0,0.0,1
C1CCC[C@@H]2C[C@@H]2CC1,-26.25,6.1868,4
C1CCC[C@H]2O[C@H]2CC1,-165.1,0.0,1
C1CCC\C=C/CC1,-25.35,3.7477,2
C1CCCc2ccc(CCCCCCc3ccc(CC1)cc3)cc2,-77.0,0.0,1
C1CCNC1,-3.5,0.1414,2
C1CCNCC1,-47.15,0.0,2
C1CCOC1,-184.2,0.0,1
C1CCOCC1,-222.4,2.0881,3
C1CCSC1,-34.05,0.6364,2
C1CCSCC1,-63.4,0.1414,2
C1CC[C@@H]2CCCC[C@@H]2C1,-169.4,0.2828,2
C1CC[C@@H]2CCC[C@@H]2C1,-127.2,0.0,1
C1CC[C@H]2CCCC[C@@H]2C1,-181.2,1.4142,2
C1CC[C@H]2CCC[C@@H]2C1,-131.6,0.0,1
C1CC[C@H]2C[C@H]2CC1,-6.1,0.0,1
C1CC[C@H]2NCCC[C@@H]2C1,-112.9,0.0,1
C1CC\C=C\C=C/C1,146.0,0.0,1
C1CCc2c(C1)ccc3ccccc23,92.3,0.0,1
C1CCc2cc3CCCCc3cc2C1,-37.2,0.0,1
C1CCc2ccccc2C1,28.0,2.8284,2
C1CCc2ncccc2C1,71.0,0.0,1
C1CN(C1)CCc2ccccc2,185.2,0.0,1
C1CN2CCC1CC2,-4.3,0.0,1
C1CNCCN1,23.1,2.687,2
C1CNc2ccccc2C1,82.0,0.0,1
C1COC(O1)c2ccccc2,-205.3,0.0,1
C1COC1,-80.54,0.0,2
C1COC=CC1,-112.81,0.0,1
C1COCCO1,-316.65,1.9092,2
C1COCCOCCOCCO1,-631.1,0.0,1
C1COCCOCCOCCOCCO1,-799.5,0.0,1
C1COCO1,-301.7,0.0,1
C1COCOC1,-344.75,5.9293,4
C1COCOCCO1,-467.2,0.0,1
C1COc2ccccc2C1,-82.4,0.0,1
C1CS1,82.3,0.0,1
C1C[C@@H]2C=C[C@@H]1[C@H]3CC[C@H]2C=C3,154.0,0.0,1
C1C[C@@H]2[C@H]1[C@@H]3CC[C@H]23,235.0,0.0,1
C1C[C@@H]2[C@H]1[C@H]3CC[C@@H]23,211.0,0.0,1
C1C[C@H]2C=CC[C@@H]12,119.0,0.0,1
C1C[C@H]2C=C[C@H]1[C@H]3CC[C@H]2C=C3,143.0,0.0,1
C1C[C@H]2CCC[C@@H]2C1,-67.0,0.0,1
C1C[C@H]2CCC[C@H]2C1,-93.0,0.0,1
C1C[CH]=[C]=[CH]CC[CH]=[C]=[CH]1,356.1,0.0,1
C1Cc2cc3CCc3cc12,310.0,0.0,1
C1Cc2ccc(CCCc3ccc(C1)cc3)cc2,129.4,0.0,1
C1Cc2ccc(CCc3ccc1cc3)cc2,242.3333,2.0551,3
C1Cc2ccc3CCCc4ccc(C1)c2c34,40.7,0.0,1
C1Cc2ccc3CCc4ccc1c2c34,174.3,0.0,1
C1Cc2cccc(CCc3ccc1cc3)c2,218.3,0.0,1
C1Cc2cccc(CCc3cccc1c3)c2,170.0,0.0,1
C1Cc2cccc3CCc4cccc1c4c23,90.2,0.0,1
C1Cc2cccc3cccc1c23,156.4,0.5657,2
C1Cc2ccccc12,199.4,0.0,1
