inchikey,smiles,value,tier,scaffold
HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,285.42,tier1+confirmed,EMPTY_SCAFFOLD
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,272.65,tier1+confirmed,EMPTY_SCAFFOLD
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,350.55,tier1+confirmed,EMPTY_SCAFFOLD
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,390.81,tier1+confirmed,EMPTY_SCAFFOLD
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,321.15,tier1+confirmed,EMPTY_SCAFFOLD
OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,309.22,tier1+confirmed,EMPTY_SCAFFOLD
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,410.95,tier1+confirmed,EMPTY_SCAFFOLD
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,355.41,tier1+confirmed,EMPTY_SCAFFOLD
VFWCMGCRMGJXDK-UHFFFAOYSA-N,CCCCCl,351.58,tier1+confirmed,EMPTY_SCAFFOLD
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,341.88,tier1+confirmed,EMPTY_SCAFFOLD
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,347.95,tier1+confirmed,EMPTY_SCAFFOLD
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,374.47,tier1+confirmed,C1COCCO1
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,375.46,tier1+confirmed,EMPTY_SCAFFOLD
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,429.24,tier1+confirmed,c1ccccc1
XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl,360.1,tier1+confirmed,EMPTY_SCAFFOLD
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,412.27,tier1+confirmed,c1ccccc1
LYGJENNIWJXYER-UHFFFAOYSA-N,C[N+](=O)[O-],374.35,tier1+confirmed,EMPTY_SCAFFOLD
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1,425.56,tier1+confirmed,c1ccccc1
QMMFVYPAHWMCMS-UHFFFAOYSA-N,CSC,310.48,tier1+confirmed,EMPTY_SCAFFOLD
ROSDSFDQCJNGOL-UHFFFAOYSA-N,CNC,280.03,tier1+confirmed,EMPTY_SCAFFOLD
FVSKHRXBFJPNKK-UHFFFAOYSA-N,CCC#N,370.5,tier1+confirmed,EMPTY_SCAFFOLD
HPNMFZURTQLUMO-UHFFFAOYSA-N,CCNCC,328.6,tier1+confirmed,EMPTY_SCAFFOLD
NKDDWNXOKDWJAK-UHFFFAOYSA-N,COCOC,315.0,tier1+confirmed,EMPTY_SCAFFOLD
TZIHFWKZFHZASV-UHFFFAOYSA-N,COC=O,304.9,tier1+confirmed,EMPTY_SCAFFOLD
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,276.02,tier1+confirmed,EMPTY_SCAFFOLD
NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,350.5,tier1+confirmed,EMPTY_SCAFFOLD
YWAKXRMUMFPDSH-UHFFFAOYSA-N,C=CCCC,303.11,tier1+confirmed,EMPTY_SCAFFOLD
BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,404.65,tier1+confirmed,EMPTY_SCAFFOLD
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,371.58,tier1+confirmed,EMPTY_SCAFFOLD
KFNNIILCVOLYIR-UHFFFAOYSA-N,CCCOC=O,353.97,tier1+confirmed,EMPTY_SCAFFOLD
