smiles,mean,std,n
CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@@]1(C)CCc2c(C)c(OC(C)=O)c(C)c(C)c2O1,-1094.8,0.0,1
CC(C)CCCl,-208.0,0.0,1
CC(C)CCN,-210.0,0.0,1
CC(C)CCN(CCC(C)C)CCC(C)C,-342.0,0.0,1
CC(C)CCNCCC(C)C,-248.0,0.0,1
CC(C)CCO,-356.15,0.3536,2
CC(C)CCOC(=O)C(C)Cl,-627.2,0.0,1
CC(C)CCOC(=O)C(Cl)(Cl)Cl,-581.2,0.0,1
CC(C)CCOC(=O)C(Cl)Cl,-575.3,0.0,1
CC(C)CCOC(=O)CC(C)Cl,-644.3,0.0,1
CC(C)CCOC(=O)CCCCl,-656.5,0.0,1
CC(C)CCOC(=O)CCCl,-593.3,0.0,1
CC(C)CCOC(=O)CCl,-571.5,0.0,1
CC(C)CCOCC1CO1,-384.0,0.0,1
CC(C)CCS,-154.1,0.0,1
CC(C)CCSCCC(C)C,-282.0,0.0,1
CC(C)CN(CC(C)C)CC(C)C,-332.0,0.0,1
CC(C)CN/N=C/C(C)C,-58.2,0.0,1
CC(C)CNCC(C)C,-226.6667,8.7689,3
CC(C)CO,-334.3,0.6083,3
CC(C)COC(=O)C(C)C,-587.4,0.0,1
CC(C)COC(=O)C(C)Cl,-603.3,0.0,1
CC(C)COC(=O)C(Cl)(Cl)Cl,-554.0,0.0,1
CC(C)COC(=O)C(Cl)Cl,-554.0,0.0,1
CC(C)COC(=O)CC(C)Cl,-623.4,0.0,1
CC(C)COC(=O)CCC=C,-488.0,0.0,1
CC(C)COC(=O)CCCCCCCC(=O)OCC(C)C,-1177.9,0.0,1
CC(C)COC(=O)CCCCl,-630.5,0.0,1
CC(C)COC(=O)CCCl,-572.8,0.0,1
CC(C)COC(C)(C)C,-409.1,0.0,2
CC(C)COCC1CO1,-357.7,0.0,1
CC(C)CON=O,-186.0,0.0,1
CC(C)CS,-132.0,0.0,1
CC(C)CSCC(C)C,-229.0,0.0,1
CC(C)CSSCC(C)C,-232.8,0.0,1
CC(C)C[C@@H](N)C(O)=O,-648.9,0.0,1
CC(C)C[S](=O)(=O)CC(C)C,-625.17,0.0,1
CC(C)Cc1ccccc1,-69.9,0.0,1
CC(C)I,-74.9,0.0,1
CC(C)N,-112.3,0.0,1
CC(C)N(C#N)C(C)C,-51.42,0.0,1
CC(C)N=C=NC(C)C,-20.8,0.0,1
CC(C)N=NC(C)C,-0.1,0.0,1
CC(C)NC(C)C,-174.7,5.2326,2
CC(C)NN=C(C)C,-21.3,0.0,1
CC(C)O,-317.9667,0.8737,3
CC(C)OC(=O)C(Cl)(Cl)Cl,-536.4,0.0,1
CC(C)OC(=O)CCC=C,-464.0,0.0,1
CC(C)OC(C)(C)C,-393.0,0.0,1
CC(C)OC(C)=O,-526.9,0.0,1
CC(C)OC(C)C,-351.5,0.0,1
CC(C)OC(C)OC(C)C,-569.2,0.0,1
CC(C)OC=C,-205.0,0.0,1
CC(C)OCC1CO1,-342.9,0.0,1
CC(C)ON=O,-164.0,0.0,1
CC(C)O[N+]([O-])=O,-228.0,2.8284,2
